provider,official_url,index_or_source,access_model,search_verticals,content_extraction,response_formats,auth,pricing_or_access,free_tier,cost_per_1k_queries,typical_latency_ms,special_features,notes
Bing Web Search API,https://learn.microsoft.com/en-us/bing/search-apis/bing-web-search/,Bing index,direct API,web,unknown,JSON,subscription key,paid,unknown,$3-7,200-500,Freshness filters; spell check; safe search; market targeting,General-purpose web search
Brave Search API,https://brave.com/search/api/,Brave index,direct API,web/news/images/video,unknown,JSON,X-Subscription-Token,paid,yes,$3 (Base) / $5 (Pro),300-600,AI summarizer; goggles customization; no tracking; independent index,Independent index
Google Custom Search JSON API,https://developers.google.com/custom-search/v1/overview,Google index,direct API,web/images,unknown,JSON,API key,paid,yes,$5 per 1k after free,150-400,Site-restricted search; image search; safe search,Programmable Search Engine required
SerpAPI,https://serpapi.com/search-api,Google and other SERPs,SERP proxy,web/images/news/shopping/maps/others,unknown,JSON,API key,paid,yes,$50/5k searches,500-2000,Multi-engine support (Google/Bing/Yahoo/Baidu); localization; async,SERP scraping service
Serper.dev,https://serper.dev/,Google SERPs,SERP proxy,web/images/news/maps/others,unknown,JSON,API key,paid,yes,$1.25-2 per 1k,100-300,Fastest Google SERP; autocomplete; related searches,SERP scraping service
Tavily Search API,https://docs.tavily.com/documentation/api-reference/endpoint/search,unknown,AI search API,web,yes,JSON,API key,paid,yes,$1 per 1k (basic),1000-3000,AI-optimized for RAG; content extraction; answer generation,Search and extraction
Exa Search API,https://exa.ai/docs/reference/search,Exa index,direct API,web,yes,JSON,API key,paid,unknown,$1 search + $1 contents per 1k,500-1500,Neural/keyword search; content retrieval; domain filtering; similarity search,Search plus content retrieval
Kagi Search API,https://help.kagi.com/kagi/api/overview.html,Kagi index,direct API,web,unknown,JSON,Authorization header,paid,unknown,$25/mo for 1k searches,300-700,Ad-free; high quality ranking; FastGPT for AI answers,Invite-only noted in docs
DataForSEO SERP API,https://docs.dataforseo.com/v3/serp/overview/,Google and other SERPs,SERP proxy,web/images/news/maps/others,unknown,JSON,basic auth,paid,unknown,$0.75-2 per 1k,500-1500,SEO metrics; keyword data; backlink analysis; historical data,SEO-focused provider
Serpstack,https://serpstack.com/documentation,Google SERPs,SERP proxy,web/images/news/shopping/others,unknown,JSON,API key,paid,yes,$30/5k searches,500-1500,Simple API; location/device targeting,SERP scraping service
Zenserp,https://app.zenserp.com/documentation,Google and other SERPs,SERP proxy,web/images/news/maps/others,unknown,JSON,API key,paid,yes,$30/5k searches,500-1500,Multi-engine; batch requests; reverse image search,SERP scraping service
Scale SERP,https://docs.trajectdata.com/scaleserp,Google SERPs,SERP proxy,web/news/images/places/trends/others,unknown,JSON,API key,paid,yes,$49/10k searches,400-1200,Trends data; places data; async batch,Traject Data product
Mojeek Search API,https://www.mojeek.com/support/api/search/,Mojeek index,direct API,web,unknown,JSON/XML,API key,paid,unknown,unknown,400-800,Privacy-focused; independent crawler; no tracking,Independent index
DuckDuckGo Instant Answer API,https://duckduckgo.com/api,DDG instant answers,direct API,instant answers,unknown,JSON,none,free,yes,free,100-300,Zero-click info; topics; disambiguation; no full search results,Not full web search
SearxNG Search API,https://docs.searxng.org/dev/search_api.html,metasearch aggregators,self-hosted API,web/images/news/others,unknown,JSON/CSV/RSS,instance-specific,self-hosted,self-hosted,hosting costs only,varies by instance,Metasearch aggregation; privacy; customizable engines; self-hosted,Depends on configured engines
You.com Search API,https://documentation.you.com/api-reference/search,You.com index,LLM-focused API,web/news/images/others,yes,JSON,API key,paid,yes,$1-5 per 1k,500-1500,AI snippets; RAG-optimized; content extraction; news search,Search and contents endpoints
